epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.2836,0.71376,2.11848,1.21305,0.90207,0.40323,0.81985,0.5819,0.73353,2.48385,1.35497,0.00064,0.00064,0.00064
2,27.9645,0.91972,1.70252,1.37894,0.60348,0.63006,0.65739,0.34416,1.29898,2.54063,2.42402,0.00127426,0.00127426,0.00127426
3,36.6452,0.93193,1.47608,1.37124,0.1515,0.23656,0.09346,0.02937,2.08436,3.70422,3.11483,0.00188238,0.00188238,0.00188238
4,45.1042,0.95596,1.46845,1.42611,0.41096,0.39386,0.33536,0.13198,1.9819,2.73022,3.30443,0.0018812,0.0018812,0.0018812
5,54.701,0.9519,1.34612,1.35692,0.42487,0.48387,0.35903,0.17706,1.53611,2.75185,2.20637,0.0018416,0.0018416,0.0018416
6,63.8128,0.95384,1.22935,1.36436,0.57902,0.54721,0.57336,0.36387,1.21419,2.36371,1.81786,0.001802,0.001802,0.001802
7,72.5603,0.88109,1.16018,1.3349,0.71348,0.66939,0.74055,0.4863,1.12295,1.67169,1.6476,0.0017624,0.0017624,0.0017624
8,81.4837,0.87857,1.1573,1.32459,0.61968,0.59568,0.58286,0.2748,1.45084,2.08461,1.98017,0.0017228,0.0017228,0.0017228
9,89.991,0.87896,1.05347,1.33089,0.8786,0.79032,0.87481,0.67796,0.7943,1.0791,1.40344,0.0016832,0.0016832,0.0016832
10,98.2928,0.78652,0.97642,1.23558,0.63648,0.66836,0.63719,0.42517,1.16393,1.63024,1.81336,0.0016436,0.0016436,0.0016436
11,107.551,0.80382,0.95339,1.26244,0.84972,0.82258,0.89281,0.67619,0.87344,0.92589,1.44062,0.001604,0.001604,0.001604
12,116.218,0.78263,0.92203,1.24712,0.89173,0.79708,0.87814,0.69736,0.74007,1.02815,1.32863,0.0015644,0.0015644,0.0015644
13,124.785,0.84231,1.0734,1.35743,0.90358,0.82258,0.89576,0.71598,0.71249,0.84717,1.31562,0.0015248,0.0015248,0.0015248
14,134.128,0.72474,0.84718,1.21288,0.77146,0.78038,0.83815,0.6183,0.90886,1.05618,1.53168,0.0014852,0.0014852,0.0014852
15,142.534,0.77046,0.89693,1.24991,0.88763,0.76441,0.88998,0.6982,0.74779,0.9491,1.32827,0.0014456,0.0014456,0.0014456
16,151.164,0.73699,0.84175,1.22893,0.86589,0.87634,0.93055,0.75121,0.70002,0.75831,1.25014,0.001406,0.001406,0.001406
17,159.8,0.70708,0.78385,1.20087,0.89974,0.86022,0.92122,0.74461,0.71421,0.72872,1.28871,0.0013664,0.0013664,0.0013664
18,168.306,0.76205,0.94129,1.24428,0.908,0.81183,0.89989,0.73259,0.71913,0.80724,1.31866,0.0013268,0.0013268,0.0013268
19,176.406,0.69492,0.80721,1.20116,0.92368,0.87634,0.95076,0.80763,0.57302,0.61462,1.1723,0.0012872,0.0012872,0.0012872
20,184.973,0.67173,0.75216,1.17727,0.86872,0.86559,0.91674,0.73105,0.7151,0.78142,1.34205,0.0012476,0.0012476,0.0012476
21,193.741,0.62712,0.69133,1.1517,0.93045,0.86309,0.91889,0.78871,0.63668,0.68619,1.23782,0.001208,0.001208,0.001208
22,202.338,0.68725,0.73122,1.18435,0.89165,0.89785,0.93493,0.80236,0.61103,0.6204,1.22745,0.0011684,0.0011684,0.0011684
23,210.542,0.61949,0.66516,1.14504,0.88803,0.8528,0.94304,0.80832,0.58307,0.64877,1.17406,0.0011288,0.0011288,0.0011288
24,219.367,0.65108,0.69552,1.15507,0.929,0.84418,0.90546,0.7621,0.63309,0.68916,1.20842,0.0010892,0.0010892,0.0010892
25,228.088,0.63428,0.70816,1.15704,0.91439,0.8614,0.91711,0.75214,0.64631,0.66535,1.25535,0.0010496,0.0010496,0.0010496
26,236.541,0.57737,0.64421,1.11161,0.88475,0.89247,0.94094,0.81382,0.57909,0.60982,1.20085,0.00101,0.00101,0.00101
